sku,date,demand,inventory,receipts,safety_stock
STABLE-01,2026-01-05,1000,18000,4000,2500
STABLE-01,2026-01-12,1020,18000,4000,2500
STABLE-01,2026-01-19,980,18000,4000,2500
STABLE-01,2026-01-26,1010,18000,4000,2500
STABLE-01,2026-02-02,990,18000,4000,2500
STABLE-01,2026-02-09,1030,18000,4000,2500
STABLE-01,2026-02-16,1015,18000,4000,2500
STABLE-01,2026-02-23,995,18000,4000,2500
STABLE-01,2026-03-02,1025,18000,4000,2500
STABLE-01,2026-03-09,1005,18000,4000,2500
STABLE-01,2026-03-16,1040,18000,4000,2500
STABLE-01,2026-03-23,1020,18000,4000,2500
GROWTH-02,2026-01-05,700,12500,2500,2000
GROWTH-02,2026-01-12,760,12500,2500,2000
GROWTH-02,2026-01-19,820,12500,2500,2000
GROWTH-02,2026-01-26,880,12500,2500,2000
GROWTH-02,2026-02-02,940,12500,2500,2000
GROWTH-02,2026-02-09,1000,12500,2500,2000
GROWTH-02,2026-02-16,1060,12500,2500,2000
GROWTH-02,2026-02-23,1120,12500,2500,2000
GROWTH-02,2026-03-02,1180,12500,2500,2000
GROWTH-02,2026-03-09,1240,12500,2500,2000
GROWTH-02,2026-03-16,1300,12500,2500,2000
GROWTH-02,2026-03-23,1360,12500,2500,2000
RISK-03,2026-01-05,1150,4500,1500,1800
RISK-03,2026-01-12,1200,4500,1500,1800
RISK-03,2026-01-19,1180,4500,1500,1800
RISK-03,2026-01-26,1250,4500,1500,1800
RISK-03,2026-02-02,1220,4500,1500,1800
RISK-03,2026-02-09,1280,4500,1500,1800
RISK-03,2026-02-16,1260,4500,1500,1800
RISK-03,2026-02-23,1310,4500,1500,1800
RISK-03,2026-03-02,1290,4500,1500,1800
RISK-03,2026-03-09,1340,4500,1500,1800
RISK-03,2026-03-16,1320,4500,1500,1800
RISK-03,2026-03-23,1380,4500,1500,1800
EXCESS-04,2026-01-05,430,15000,1000,1200
EXCESS-04,2026-01-12,410,15000,1000,1200
EXCESS-04,2026-01-19,420,15000,1000,1200
EXCESS-04,2026-01-26,400,15000,1000,1200
EXCESS-04,2026-02-02,390,15000,1000,1200
EXCESS-04,2026-02-09,410,15000,1000,1200
EXCESS-04,2026-02-16,380,15000,1000,1200
EXCESS-04,2026-02-23,395,15000,1000,1200
EXCESS-04,2026-03-02,375,15000,1000,1200
EXCESS-04,2026-03-09,390,15000,1000,1200
EXCESS-04,2026-03-16,370,15000,1000,1200
EXCESS-04,2026-03-23,365,15000,1000,1200

